Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	78	26	245	107	5	4
V2	76	369	102	0	0	40
V3	597	0	141	65	38	0
V4	6	155	10	20	13	6
V5	93	48	6	8	9	27
V6	93	24	10	305	5	241
V7	0	44	0	55	0	21
V8	338	72	0	0	0	51
V9	32	0	57	103	0	5
V10	0	164	9	0	28	0
V11	61	89	15	58	0	0
V12	26	0	393	0	0	19
V13	370	25	117	3	153	5
V14	195	0	85	43	0	7
V15	46	177	11	2	8	126
V16	157	0	42	0	52	9
V17	7	5	2	21	186	64
V18	5	56	0	18	17	41
V19	6	67	7	20	279	133
V20	15	2	56	43	11	19
V21	7	114	664	125	84	30
V22	33	31	128	20	21	19
V23	5	5	0	19	5	0
V24	33	27	0	20	71	141
V25	123	57	558	22	16	26
V26	62	70	38	68	19	50
V27	0	26	372	0	26	0
V28	8	118	12	216	254	60
V29	39	5	5	99	2	5
V30	3	47	143	86	17	21
V31	126	105	0	35	113	12
V32	0	0	75	0	10	16
V33	8	10	8	0	122	0
V34	96	19	0	126	0	13
V35	285	38	4	100	16	9
V36	185	0	79	68	0	49
V37	101	31	8	477	38	98
V38	333	4	103	288	67	142
V39	285	0	271	0	0	61
V40	0	236	83	65	0	38
V41	271	284	0	0	0	115
V42	14	137	6	0	128	0
V43	16	65	43	22	190	22
V44	31	158	114	9	139	4
V45	160	64	329	41	29	147
V46	340	0	99	0	21	39
V47	0	49	27	12	17	58
V48	112	116	58	43	46	4
V49	230	344	16	57	111	9
V50	113	38	9	53	69	392
V51	163	26	7	80	99	5
V52	77	83	2	111	15	48
V53	27	0	29	4	0	5
V54	42	39	9	75	251	18
V55	0	0	0	307	0	0
V56	9	54	2	32	7	57
V57	0	131	8	14	0	122
V58	41	0	0	0	219	137
V59	110	204	36	161	138	53
V60	28	278	11	12	30	124
V61	72	63	65	19	0	96
V62	103	36	23	44	24	64
V63	0	0	173	41	0	0
V64	327	0	154	48	0	41
V65	4	102	62	79	102	197
V66	81	0	52	59	0	54
V67	31	75	1	90	23	5
V68	24	30	10	13	12	0
V69	15	154	0	16	31	0
V70	63	59	450	24	0	29
V71	44	44	1	40	40	4
V72	160	529	4	71	70	1
V73	180	79	84	20	10	40
V74	47	17	49	5	26	9
V75	420	0	0	0	0	34
V76	12	27	3	163	38	25
V77	21	68	202	122	0	0
V78	26	13	19	2	75	216
V79	26	29	1	3	4	56
V80	75	13	5	34	0	66
V81	15	129	0	70	0	5
V82	11	78	21	87	276	263
V83	40	69	79	52	0	0
V84	35	858	0	0	60	123
V85	245	175	0	284	35	0
V86	4	86	195	5	38	2
V87	41	398	347	30	111	53
V88	9	10	6	3	3	14
V89	90	18	50	35	16	190
V90	88	7	323	265	54	1
V91	3	97	15	6	0	0
V92	68	14	1	1	11	44
V93	219	10	51	24	114	6
V94	43	23	50	4	2	6
V95	13	4	1	51	4	30
V96	17	187	140	1	1	38
V97	4	79	136	72	239	7
V98	82	125	22	1	191	40
V99	0	7	0	7	10	0
V100	58	0	88	51	0	53
