Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	26	32	0	10	11	0
V2	0	10	0	256	53	16
V3	25	15	0	29	61	11
V4	50	5	1	8	21	36
V5	20	9	110	196	23	9
V6	0	244	71	100	0	23
V7	69	9	51	15	6	7
V8	56	1	9	1	4	6
V9	31	44	6	115	23	21
V10	215	1	27	28	29	22
V11	0	0	139	72	38	13
V12	276	9	21	51	7	8
V13	43	26	27	0	23	129
V14	84	22	153	4	6	11
V15	129	3	41	9	110	47
V16	13	53	116	24	95	1
V17	4	36	195	2	2	84
V18	136	32	106	34	0	0
V19	13	11	14	31	123	18
V20	6	137	132	19	67	33
V21	68	60	160	94	221	154
V22	5	36	0	76	0	4
V23	103	15	103	4	37	13
V24	2	16	7	270	25	6
V25	72	7	8	41	33	1
V26	0	6	76	39	0	21
V27	61	13	46	197	50	1
V28	0	42	16	58	159	0
V29	112	22	64	0	0	0
V30	228	61	85	51	18	8
V31	123	73	0	0	0	47
V32	180	371	252	0	0	0
V33	0	15	43	28	0	56
V34	496	28	0	39	0	0
V35	220	0	48	26	0	13
V36	0	125	14	0	39	13
V37	90	17	1	36	152	7
V38	41	15	2	59	5	74
V39	54	0	60	13	0	157
V40	4	48	21	32	5	63
V41	46	0	52	0	0	3
V42	61	1	157	9	22	51
V43	46	0	4	0	0	11
V44	0	19	0	8	0	33
V45	4	14	47	0	13	9
V46	122	6	32	0	26	12
V47	28	46	1	50	1	14
V48	126	43	1	5	85	8
V49	16	68	4	0	10	34
V50	4	8	27	0	0	15
V51	279	12	78	0	0	0
V52	17	23	16	6	32	10
V53	42	88	0	17	0	26
V54	79	10	78	38	18	52
V55	18	12	29	15	8	82
V56	0	151	0	0	84	8
V57	7	13	0	16	0	6
V58	0	59	168	82	39	26
V59	0	9	77	0	14	32
V60	19	2	2	74	27	38
V61	24	0	0	4	14	17
V62	0	95	19	65	163	79
V63	274	26	0	0	0	19
V64	58	5	70	13	18	92
V65	27	15	54	71	13	1
V66	31	174	0	44	0	0
V67	7	0	7	0	4	4
V68	107	7	116	125	13	2
V69	30	37	4	25	117	0
V70	29	17	23	0	0	11
V71	0	9	2	0	26	4
V72	9	0	133	0	94	19
V73	1	7	31	83	61	4
V74	4	18	0	0	123	0
V75	55	1	43	10	34	4
V76	43	7	11	192	59	9
V77	59	1	8	27	35	22
V78	70	41	20	3	38	101
V79	41	138	193	21	0	85
V80	23	13	5	101	12	51
V81	0	45	8	0	33	4
V82	76	3	3	2	34	26
V83	148	6	1	81	22	25
V84	58	4	0	0	19	0
V85	0	87	90	36	20	0
V86	0	50	0	64	24	72
V87	18	0	25	49	0	48
V88	11	23	23	5	20	27
V89	9	53	0	0	46	47
V90	14	124	0	0	9	0
V91	204	12	12	35	38	70
V92	0	481	26	21	0	0
V93	0	29	0	33	19	23
V94	88	51	0	48	0	0
V95	11	13	0	10	57	0
V96	29	87	40	7	3	20
V97	0	341	110	22	23	35
V98	15	4	5	23	7	0
V99	19	38	88	1	32	24
V100	19	11	89	154	25	77
