MutationType	ID1	ID2	ID8	ID9	ID83A	ID83F
1:Del:C:0	0.00015989	0.00482412	0.03982756	0.33493988	0.00093925	0.00000029
1:Del:C:1	0.00077352	0.00002210	0.02391594	0.09999423	0.00223737	0.00000020
1:Del:C:2	0.00000000	0.00000311	0.00333055	0.00269066	0.00000008	0.00030168
1:Del:C:3	0.00190761	0.00247208	0.00540315	0.01062542	0.00008774	0.00000253
1:Del:C:4	0.00070599	0.00385698	0.00127571	0.01249690	0.00026167	0.00112037
1:Del:C:5	0.00337011	0.01461542	0.00093373	0.00004480	0.00000001	0.00000000
1:Del:T:0	0.00131160	0.00790597	0.03424369	0.10510537	0.00000000	0.00021484
1:Del:T:1	0.00000000	0.00000000	0.01045208	0.04429364	0.00019126	0.00000006
1:Del:T:2	0.00093645	0.00703642	0.00899203	0.08586196	0.00000000	0.00000002
1:Del:T:3	0.00229585	0.02023474	0.00982504	0.11325066	0.00033734	0.00000000
1:Del:T:4	0.00429142	0.04711993	0.00127378	0.09441274	0.00257648	0.00000000
1:Del:T:5	0.00000000	0.81469723	0.01062034	0.00092983	0.00000004	0.00539728
1:Ins:C:0	0.00000000	0.00000000	0.00276427	0.00000000	0.00079351	0.09098768
1:Ins:C:1	0.00000000	0.00022703	0.00216912	0.00000193	0.00000003	0.00000045
1:Ins:C:2	0.00000000	0.00002620	0.00152700	0.00035262	0.00057872	0.00000014
1:Ins:C:3	0.00084599	0.00043005	0.00011652	0.00000000	0.00003415	0.00000003
1:Ins:C:4	0.00178553	0.00291185	0.00055418	0.00000216	0.00002268	0.00097156
1:Ins:C:5	0.02429654	0.00901754	0.00048949	0.00007370	0.00112116	0.00000000
1:Ins:T:0	0.00228382	0.00132856	0.00450798	0.01261448	0.00022950	0.00000006
1:Ins:T:1	0.00004030	0.00000000	0.00486870	0.01038527	0.00000000	0.00000431
1:Ins:T:2	0.00019286	0.00064703	0.00142964	0.00231466	0.00025524	0.00000007
1:Ins:T:3	0.00424327	0.00108288	0.00108729	0.00160089	0.00050242	0.00012413
1:Ins:T:4	0.01664913	0.00348746	0.00082262	0.00158536	0.00000000	0.00027307
1:Ins:T:5	0.89090647	0.00313258	0.02016125	0.00577248	0.00020100	0.00000055
2:Del:R:0	0.00068605	0.00016381	0.00876922	0.01317475	0.00000013	0.00093615
2:Del:R:1	0.00121997	0.00356888	0.01030715	0.00319854	0.00004078	0.00270209
2:Del:R:2	0.00047275	0.00184957	0.00053203	0.00118970	0.00028019	0.00074916
2:Del:R:3	0.00042672	0.00073904	0.00002710	0.00009590	0.00000000	0.00000000
2:Del:R:4	0.00005460	0.00088193	0.00027403	0.00000000	0.00000002	0.00000006
2:Del:R:5	0.00000000	0.00000000	0.00083308	0.00000000	0.00015738	0.00000013
3:Del:R:0	0.00012804	0.00001250	0.01096410	0.00285810	0.00025191	0.00000018
