Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	68	9	0	130	0	73
V2	134	37	0	0	0	67
V3	27	31	10	4	2	32
V4	204	23	93	43	26	35
V5	73	31	0	0	6	26
V6	14	0	73	0	39	29
V7	0	0	40	75	0	95
V8	0	185	25	0	16	11
V9	65	56	2	28	52	17
V10	190	57	9	32	20	29
V11	4	128	168	31	80	3
V12	7	81	0	30	0	41
V13	2	113	41	51	53	43
V14	149	12	15	12	1	7
V15	122	62	0	52	123	36
V16	6	57	32	96	8	89
V17	12	29	284	157	8	70
V18	42	54	68	11	96	26
V19	99	74	179	15	32	45
V20	0	129	0	0	14	93
V21	247	3	143	65	270	21
V22	81	44	5	33	10	37
V23	0	19	0	0	60	39
V24	100	382	105	5	5	143
V25	0	0	89	0	237	19
V26	1	139	95	41	3	12
V27	12	74	56	20	11	11
V28	1	45	16	145	205	144
V29	0	0	37	12	14	0
V30	52	224	98	17	57	58
V31	141	40	49	24	34	227
V32	47	190	1	78	134	71
V33	0	64	60	0	0	156
V34	0	19	40	56	7	37
V35	198	65	297	300	6	173
V36	11	0	0	95	0	6
V37	226	4	82	18	3	3
V38	422	15	23	86	233	7
V39	0	160	261	0	43	22
V40	16	0	38	213	23	11
V41	108	395	0	228	38	14
V42	0	0	38	0	23	130
V43	21	25	0	0	67	8
V44	0	158	0	122	143	30
V45	35	56	53	10	12	15
V46	0	68	0	43	9	0
V47	28	158	58	0	49	52
V48	18	5	18	56	4	3
V49	67	136	31	260	16	19
V50	0	26	58	25	5	0
V51	53	24	156	40	136	6
V52	71	54	9	5	131	32
V53	125	19	71	23	36	28
V54	59	105	0	0	0	0
V55	10	214	23	20	24	7
V56	3	15	3	232	12	13
V57	0	22	0	0	74	97
V58	101	3	87	59	5	65
V59	69	32	131	55	15	265
V60	28	253	40	203	46	8
V61	5	9	0	0	3	5
V62	19	90	229	34	16	0
V63	193	89	96	29	35	9
V64	0	4	25	0	26	0
V65	4	6	21	3	3	105
V66	1	49	266	27	356	171
V67	62	0	113	0	294	29
V68	11	72	5	98	93	130
V69	0	24	0	6	0	18
V70	16	2	379	41	239	61
V71	58	4	37	11	1	7
V72	0	0	78	0	166	0
V73	10	93	39	0	0	80
V74	129	143	20	4	11	2
V75	99	1	24	78	23	130
V76	23	20	0	24	0	18
V77	126	8	108	92	45	4
V78	15	11	19	30	5	144
V79	33	3	19	28	120	8
V80	0	52	0	13	0	4
V81	16	13	8	16	121	3
V82	0	27	104	183	0	56
V83	122	27	0	0	56	5
V84	13	40	49	61	7	48
V85	0	196	0	25	0	0
V86	99	0	0	20	0	205
V87	8	34	24	103	3	1
V88	13	96	3	49	33	41
V89	197	16	7	77	16	50
V90	0	45	139	166	70	0
V91	51	10	16	0	17	32
V92	133	0	0	69	25	16
V93	3	163	24	13	2	3
V94	281	0	162	48	0	17
V95	11	24	79	73	8	75
V96	115	13	87	76	0	11
V97	324	35	0	24	0	0
V98	99	0	20	0	41	11
V99	79	26	98	0	44	54
V100	132	202	40	0	130	49
