Method,cutoff,mean,lowCI.5.,median.50.,highCI.95.,J,theta,K_new,overd
2.CompNMF,0.6,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6026838926174496,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6053677852348993,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6080516778523489,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6107355704697986,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6134194630872483,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.616103355704698,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6187872483221476,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6214711409395973,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6241550335570469,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6268389261744967,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6295228187919463,0.9697435897435898,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.632206711409396,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6348906040268456,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6375744966442953,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6402583892617449,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6429422818791946,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6456261744966443,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6483100671140939,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6509939597315436,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6536778523489932,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.656361744966443,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6590456375838926,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6617295302013423,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6644134228187919,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6670973154362416,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6697812080536912,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.672465100671141,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6751489932885906,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6778328859060403,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6805167785234899,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6832006711409395,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6858845637583892,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.688568456375839,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6912523489932886,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6939362416107382,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6966201342281879,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.6993040268456375,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7019879194630873,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7046718120805369,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7073557046979866,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7100395973154362,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
2.CompNMF,0.7127234899328859,0.9658974358974359,0.923076923076923,1,1,50,100,2,0.15
